questionTitle,questionType,questionDescription,correctOptionNumbers,positiveMarks,negativeMarks,questionAnswerExplanation,questionOption1,questionOption2,questionOption3,questionOption4,questionOption5,questionOption6,questionOption7,questionOption8
GreatExpectationsCLI,direct,Which CLI command is used to create a new Expectation Suite in Great Expectations?,3,1,0,The `great_expectations suite new` command creates a new Expectation Suite interactively.,ge new datasource,ge suite init,great_expectations suite new,ge checkpoint create,,,,
AutoProfileInference,direct,What is the main function of Data Assistant or auto-profiling in Great Expectations?,2,1,0,Auto-profiling scans datasets to suggest meaningful expectations based on column types and distributions.,It applies transformations to datasets,It suggests initial expectations automatically,It validates only datetime formats,It checks Spark schema compatibility,,,,
RegexRuleValidation,direct,Which type of expectation would validate that a column's values match a regular expression pattern?,2,1,0,`expect_column_values_to_match_regex` checks if each value conforms to a specified pattern.,expect_column_values_to_not_be_null,expect_column_values_to_match_regex,expect_column_mean_to_be_between,expect_table_row_count_to_be_between,,,,
RangeCompletenessRules,direct,Which expectation is best used for checking if numeric column values fall within a specified range?,2,1,0,`expect_column_values_to_be_between` ensures values lie within defined lower and upper bounds.,expect_column_values_to_not_be_null,expect_column_values_to_be_between,expect_column_unique_value_count_to_be_between,expect_column_to_exist,,,,
CheckpointSchedule,direct,What is required to schedule a Great Expectations checkpoint to run periodically?,3,1,0,"You need to trigger checkpoints via an orchestrator like Airflow, Databricks Workflows, or cron.",Enable retry logic,Use suite validation UI,Schedule via external orchestrator (e.g. Airflow),Use expectation decorators,,,,
WebhookAlerting,direct,Which method allows integration of Great Expectations validation results with alerting tools?,2,1,0,Webhooks can be configured in the `checkpoint.yml` to send alerts (e.g. to Slack) upon failure.,Retry on failure,Configure webhook action in checkpoint config,Only email alerts are supported,Enable JMX monitoring,,,,
SourceTargetMapping,direct,"In data quality pipelines, what is the purpose of defining source-to-target mapping?",1,1,0,It defines how columns map across systems for validation and lineage tracking.,To define join conditions between tables,To define DDLs for ingestion,To trigger checkpoints automatically,To detect schema mismatches,,,,
PurviewLineage,direct,What does Azure Purview lineage tracking enable for source-target pipelines?,3,1,0,Purview enables automatic lineage tracking from source systems to reporting tools across transformation steps.,Version control of YAML files,Checkpoint triggering via ADF,Lineage graph showing source ? transformation ? output,Streaming ingestion to Event Hubs,,,,
RegexEdgeCases,direct,Which of the following is a valid regex pattern for matching standard email addresses in expectations?,4,1,0,"`^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$` is a commonly used email regex pattern.",^[0-9]+$,^\w+@\w+\.\w+$,"^.{1,10}$","^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$",,,,
ValidationHooks,direct,What can you use to trigger additional actions when a Great Expectations validation fails?,4,1,0,"Validation operators or `action_list` in checkpoints can trigger hooks like Slack, Azure, or custom Python logic.",Logging only,Custom decorators,Checkpoint config only,Action hooks like Slack or custom Python functions,,,,
