questionTitle,questionType,questionDescription,correctOptionNumbers,positiveMarks,negativeMarks,questionAnswerExplanation,questionOption1,questionOption2,questionOption3,questionOption4
Question 1,single-correct,What is the purpose of the Collection hierarchy in Microsoft Purview?,2,1,0,Collections organize assets logically and help apply RBAC at different scopes.,To store data physically,To logically group assets for RBAC and delegation,To scan files in order,To classify metadata types
Question 2,single-correct,What does RBAC in Microsoft Purview control?,1,1,0,RBAC (Role-Based Access Control) manages user permissions for accessing collections and managing assets.,Access to data storage,Access and actions within Purview,Data encryption settings,Scan throughput
Question 3,single-correct,What is a key component of configuring a scan in Microsoft Purview?,4,1,0,A scan configuration includes data source, credentials, and a rule set.,Assigning tags only,Creating Synapse pipelines,Exporting assets,Defining data source, credentials, and rule set
Question 4,single-correct,What are custom classification rules in Microsoft Purview used for?,2,1,0,They allow defining user-specific patterns to identify sensitive data.,To encrypt data,To detect patterns beyond built-in classifiers,To control scan regions,To create glossary terms automatically
Question 5,single-correct,Which of the following best defines a Glossary term in Purview?,3,1,0,A glossary term provides business context and can be linked to assets.,Technical classification,Data sensitivity label,Business definition with links to data assets,Access control policy
Question 6,single-correct,What does lineage push from Databricks to Purview enable?,2,1,0,It enables Purview to track data transformations occurring in Databricks notebooks and jobs.,Scan scheduling,Tracking transformations and dependencies across platforms,Data encryption,Triggering scan pipelines
Question 7,single-correct,How can scan automation be integrated into a DevOps pipeline for Purview?,1,1,0,Automation is typically achieved using PowerShell or REST API scripts integrated into CI/CD pipelines.,Through PowerShell/REST APIs in CI/CD pipeline,By editing glossary terms,Through Spark jobs only,Only via manual configuration
Question 8,single-correct,What does the Governance Scorecard in Microsoft Purview show?,3,1,0,It provides insights into catalog adoption, scan coverage, and classification health.,User login audit,Scan runtime metrics,Governance metrics like scan coverage and glossary usage,Cost optimization dashboard
Question 9,single-correct,Which of the following can be used in custom classification rules?,4,1,0,Custom rules can use regex to match patterns like PAN, Aadhaar, or internal IDs.,Scan frequency,Collection tags,Glossary term types,Regex-based conditions
Question 10,single-correct,What is the benefit of using glossary term assignments across data assets?,3,1,0,It improves data discoverability and promotes standardized business definitions.,Restricts asset access,Automates scan,Links business definitions to assets for discoverability,Pushes data to Power BI
